Portfolio_name (unused);building_name;country;area;city;zip_code;address1;gps_long;gps_lat;area_total;area_useful;building_nb_floors;carpark_spaces;carpark_area;building_control;building_user;construction_year
P7;Lamarck;France;;Paris;75013;35 rue Hélène Brion;;;11500;11000;14;0;3056;control_full;own_use;2006
P7;Buffon;France;;Paris;75013;4 rue Marie-Andrée Lagroua Weill-Halle;2.3812544;48.8278904;19148;19000;10;0;0;control_shared;rented;2007
