Portfolio ref;Nom;pays;ville;code postal;adresse;secteur;surface totale;surface utile;Nombre de niveau (compris RDC);nombre de places de parking;surface de parking;Control;Utilisateur;AnnŽe de construction
P7;Lamarck;France;Paris;75013;35 rue HŽlne Brion;0;11500;11000;14;0;3056;0;UPD;2006
P7;Buffon;France;Paris;75013;4 rue Marie-AndrŽe Lagroua Weill-Halle;0;19148;19000;10;0;0;0;UPD, IJM;2007
